comment_text,rating,like_count,user_name,movie_id,sentiment,sentiment_label,movie_name
"看到海报和预告片，人们第一反应就是：哪吒太丑了。
觉得丑就对了，因为本片讲的就是打破偏见。
正如很多人一看这是国漫，就不看了；或者去看了，看了觉得还不错也要自动先扣20分。
电影之中，骂哪吒是政治正确，只要你说哪吒是妖怪，就会有人跟着说；
电影之外，骂国产片、国漫也成了政治正确，只要你骂它，就会有人给你点赞。
其实哪吒不是妖怪，他也想降妖除魔洗清骂名；
国漫也不都是烂片，也有人想拍一部佳作证明自己。
比如这部《哪吒》。
山河社稷图一幕真是天马行空，震撼无比，将曾经只存在于想象中的物品具象化，也将中国神话的无穷想象力展现得淋漓尽致。
那些耳熟能详的故事，不再只是故事，而是能看到，能听到，能享受一场视觉盛宴。
今年有《哪吒》，明年有《姜子牙》，封神电影宇宙即将开启。
是时候以电影的形式让中国文化走向世界了。",4.0,27371,朝暮雪,26794435,1,Positive,哪吒之魔童降世
卧槽居然看哭了，这才是货真价实的国漫新希望，终于不再是假大空的中国风堆砌，而开始借神话寓言塑造真正的“小人物”。背负原罪的出身，命中注定的死期，对存在的笃定和身份的动摇，竟指向《刺客聂隐娘》的内核：一个人，没有同类。完整的世界观构建，父子母子师徒兄弟友敌，每一段关系都处理的有血有肉全无敷衍。美术剪辑配乐动作设计，处处都是亮点，就连喜剧部分也绝非装疯卖傻而存在无数细节作为支撑。海边夕阳踢毽和社稷图虚幻仙境两部分堪称绝美段落，飞驰想象力和一流制作实力的结合，值得一刷再刷。严格说是四星电影，但愿意加满五星狂推鼓励！,5.0,22162,嘟嘟熊之父,26794435,1,Positive,哪吒之魔童降世
年度最佳动画，不，年度最佳影片，剧作上的成熟应该让同档期的《狮子王》跪下来叫爸爸，起承转合水到渠成且饱含情感力量，这种成熟度不管是在动画这种形式里还是脱离动画都值得所有国产商业电影学习。整部影片看下来，在形式上非常现代化，包括笑点台词都贴近现代网络化的生活，是谓形散，但是影片把握住了哪吒这个神话人物的内在精神：我命由我不由天，并且自始至终都贯彻下去，是谓神不散，包括反派敖丙及申公豹都人物弧光饱满，在非我族类其心必异的人类世界里，《哪吒之魔童降世》是为所有异类书写的颂歌，这部片子就如同蔡依林在金曲奖上说的：献给那些曾经认为自己没有任何机会与选择的你，请你一定要记得选择你自己，支持你自己。,5.0,17125,天马星,26794435,1,Positive,哪吒之魔童降世
牛逼！牛逼！牛逼！4年前翻着白眼看完了《大圣归来》，4年后热泪盈眶地看完这部《哪吒之魔童降世》。没想到2019不仅仅是中国科幻大片元年，本片更是和《白蛇：缘起》一块儿创造了国产动漫作品前所未有的高潮。扎实的故事，生动的角色，饱满的情绪，炸裂的场面，这一切都构成了110分钟云霄飞车式的、畅快淋漓的观影体验，表面上是哪吒的传奇，骨子里面是《绝代双骄》+《悟空传》，毁天灭地的逆天气势更是燃破天际，好一曲震撼人心的“冰与火之歌”！都给老子去看！,5.0,12070,谢谢你们的鱼,26794435,1,Positive,哪吒之魔童降世
牛逼了！没想到国产动画能把故事内核写得这么成熟。好几场戏被震撼到，必须五星鼓励了。将“水淹陈塘关”的故事元素打碎了重构，人设和剧情完全依照阴阳哲学来做。太极生两仪，混元珠分为魔丸（火）和灵珠（水）。太乙真人与申公豹，哪吒与敖丙，皆是一体双生。命运的偏离带来了秩序的倒错，于是，善与恶的边界变得越加复杂起来，耐人寻味。每个主要角色都带着宿命感，向死而生，阴阳相合打破命运。哪吒形象很颠覆，华语电影里也是难得一见，最重要的反叛精神立住了。导演想击打全龄观众，而那些嬉笑段落在关键时刻也催生出了悲情，让人泪目。高潮部分的场面戏够燃够磅礴，而且情绪饱满。以后再出国产动画，都将和它比较。,5.0,11041,居无间,26794435,1,Positive,哪吒之魔童降世
邓超救不起这暑期档，哪吒可以。,4.0,27392,凹凸,26794435,1,Positive,哪吒之魔童降世
技术上还是当下国产动画电影的水准，但在剧作的完成度上，却是第一次这么成熟，这么优秀！以前大圣大鱼或者白蛇这些剧本有先天缺陷的庸常之辈，都被称作是国产动画电影的良心之作，直到这部哪吒，才算是做到了剧本层面上的优秀，兼顾了喜剧元素和主题深度，还为之后的封神宇宙开了一个好头，大家以后可以忘掉大圣了。导演把哪吒的故事做了颠覆性的改编，逆天改命的主题在哪吒身上爆发了耀眼的人物弧光，最后哪吒直接对着电影院里的观众说，今天是我生日宴，你们谁都不准哭，这一刻的泪点实在是太可怕了。第一次给国产动画做自来水，在这个萧条的暑期档，这部肯定会是爆款。,4.0,12859,亵渎电影,26794435,1,Positive,哪吒之魔童降世
讽刺的是，尽管角色口口声声说着“做自己”、“我命由己不由天”、“最害人的是成见”，电影却依然一直在用对肥胖、结巴、娘娘腔等特征产生的成见制造无价值，且一点都不好笑的笑料。,3.0,33471,字母君,26794435,2,Neutral,哪吒之魔童降世
“不成，功变成仁”、《神仙的自我修养》、“申公公”、内服外敷效果都一样的解药…前面快笑死；指点江山笔、英气的敖丙、猪鼻子倒带器…中间各种神来之笔；“人心的偏见是座大山，你是谁只有你自己才说了算”、父母面前的生离死别…结尾又被感动得一把老泪。老妈的性格更立体，老爸李靖对哪吒说你的真实身份其实是…时，生怕他说出个“蛋”，这是这部毫不正经却又硬气热血至死的片子能干出来的事。集丧逼和燃于一身，在哪吒面前，没人帅的起来！锁定今年最佳国产动画。,5.0,7785,影志,26794435,1,Positive,哪吒之魔童降世
“所有龙把鳞片扣下来的时候，我真的感觉敖丙压力太大了。”“我们全村可就指望你一个人去考大学了啊，一定要上清华啊。”“就算把其他报清华的人都杀掉你也一定要考上啊！”,4.0,6217,明安,26794435,1,Positive,哪吒之魔童降世
休说苍天不由人，我命由我不由天。新的故事，改编的很不错啊，就是有点短。友情提醒：观影记得带纸巾,5.0,5500,丿去丿去,26794435,1,Positive,哪吒之魔童降世
这个夏天还有比“藕饼”cp更火的吗？,4.0,7517,阿珂,26794435,1,Positive,哪吒之魔童降世
暑期档到目前为止最好看的一部。真正打动我的不是哪吒的人设，而是找回了久违的看港片喜剧的快感！,5.0,1468,阿德,26794435,1,Positive,哪吒之魔童降世
7分，制作确实非常突出，尤其是夕阳下踢毽子和变身两场戏，印象深刻。这也说明，华语动画只要真是踏踏实实下来做苦功夫，还是能出佳作的。剧情相比老版做了很多革新，包括新增的父子情，这个见仁见智吧。主题则是神魔我做主，我命由我不由天的中二少年感，放到现在倒是挺燃的。哪吒变身之后也是大加分，跟敖丙的兄弟情也是相当新时代趣味了。希望每一部用心制作的华语动画，都能有好的成绩吧。不过，个人还是觉得大圣更好些，所以，刚刚还专门给大圣改了分，这样才公平些。都好都好，都加油，都加油!,4.0,1264,桃桃林林,26794435,1,Positive,哪吒之魔童降世
神话故事新编，以一种不令人悲伤的方式来讲述悲伤的哪吒童年。丰富多元充满想象力画面；包含幽默、热血、感人和人生观点的剧情；还有安排得当的叙事节奏，结尾处高潮更是一波接一波，让观众又是激动万分，又是感动落泪，实在令人佩服，这就是一部优秀的动画电影。,5.0,1674,有心打扰,26794435,1,Positive,哪吒之魔童降世
这是导演的动画长片处女作啊！,5.0,277,张小北,26794435,1,Positive,哪吒之魔童降世
哪吒就是那种看完了刷评论压根不会点开差评去读的片子，一定要看IMAX。,5.0,290,沒回合,26794435,1,Positive,哪吒之魔童降世
一切都很好，但是哪吒，我想我看过更好的。,4.0,1219,姨妈的鸭,26794435,1,Positive,哪吒之魔童降世
这个夏天一定会爆！以大家对大圣大鱼和白蛇的热情，这部国漫在完成度上圆满完成期待。第一次有了看好莱坞动画的流畅感和毫无尿点以及满满泪点，实在太不容易了。这次的剧本创作、节奏把握、主题升华、人物设定、视觉特效、巧妙笑点，皆弥补之前的种种短板，毫不夸张的说是一部集大成之作。期待暑期档刷爆豆瓣和朋友圈,5.0,186,蒜 | BOY A 🌈,26794435,1,Positive,哪吒之魔童降世
谢谢把我拍的这么好！,4.0,824,哪吒男,26794435,1,Positive,哪吒之魔童降世
老版可是提倡自由意志的。,1.0,3453,Die Katze,26794435,0,Negative,哪吒之魔童降世
很像1970年之后的中国威胁论（魔童）、89年联合国制裁（关到死）、2001入世腾飞（当妖怪给他们瞧瞧） 和 2018年的中美贸易摩擦、华为事件（若命运不公斗到底）！2019最强国漫没有之一！！！,5.0,164,纳兰风澈,26794435,1,Positive,哪吒之魔童降世
"2019年，哪吒都成家庭教育成功典范了，就算你是魔童转世奔着毁天灭地来的，只要家里有钱有权有天命，妈妈爱你爸爸把命都给你，再顶级名师1V1封闭式教育，不愁养不出一个精英来。金吒木吒抱头痛哭：“这个家里没有我们的位置……”
敖丙是真可怜啊，背负了整个家族的不甘心，一人给片鳞好比读大学前村里每家每户给抓把小米，可走到城里，人家一看你头上的角就知道底细了。纵使哪天真能修炼成仙，身后还林林总总一大串亲戚呢，可敖丙能成仙吗？不被社会生吞活剥扒皮抽筋就不错了吧",3.0,11354,根,26794435,2,Neutral,哪吒之魔童降世
现在上映一部国产动画就是神作，个个都是神作,1.0,1677,三藏法师,26794435,0,Negative,哪吒之魔童降世
